Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
Access Bank Plc,Commercial Banks,Access Bank Plc,Commercial Bank,International,Access Bank Plc,17/01/1990,"14/15, Prince Alaba Oniru Road, Victoria Island, Lagos",Victoria Island,LAGOS,"(234) 01 26210404-41,2626273-76,2641571-72,3201889",www.accessbankplc.com,info@accessbankplc.com,(234) 01 2621037,"Plot 1665, Oyin Jolayemi Street",NGN,Domestic,"Access Bank, Capital Bank Int. Marina Bank,","5th Feb, 2001 (previously licensed Dec. 19, 1988)"
Citibank Nigeria Limited,Commercial Banks,Citibank Nigeria Limited,Commercial Bank,National,Nigerian International Bank Ltd,11/10/2004,"27 Kofo Abayomi Street, Victoria Island, Lagos.",Victoria Island,LAGOS,234 01 2622000-9,www.citibank.com,-,"234 01 2618916,2623334","P.O.Box 6391, Victoria island",NGN,Foreign,Nigerian International Bank Ltd,"3rd January, 2006"
Ecobank Nigeria Plc,Commercial Banks,Ecobank Nigeria Plc,Commercial Bank,National,-,24/04/1989,"21 Ahmadu Bello Way, Victoria Island, Lagos.",Victoria Island,LAGOS,"234 01 2626638-88, 2626710-17",www.ecobank.com,ecobank@ecobank.com,"234 01 2616568, 2620920","P.O.Box 72688 Victoria island, Lagos",NGN,-,Ecobank Ltd,"3rd January, 2006 (previously licensed Dec. 16, 1988)"
Fidelity Bank Plc,Commercial Banks,,,,,,,,,,,,,,,,,
First Bank Nigeria Limited,Commercial Banks,,,,,,,,,,,,,,,,,
First City Monument Bank Plc,Commercial Banks,First City Monument Bank Plc,Commercial Bank,International,First City Monument Bank Plc,11/11/1983,"Primrose Towers, 6-10 Floors 17A Tinubu Square",Tinubu Square,LAGOS,01 2665944 - 53,www.fcmb-ltd.com,caf@firstcitygroup.com,01 2665126,"P. O. Box 9117, Lagos Nigeria",NGN,-,"FCMB, Co-operative Dev, NAMBL, Midas","3rd January, 2006 (previously August 11,1983)"
Globus Bank Limited,Commercial Banks,Globus Bank Limited,Commercial Bank,Regional,-,01/01/1900,"No 6 Adeyemo Alakija Street, Victoria Island, Lagos",Victoria Island,LAGOS,-,-,-,-,-,NGN,Domestic,-,"5th November, 2021"
Guaranty Trust Bank Plc,Commercial Banks,Guaranty Trust Bank Plc,Commercial Bank,International,-,17/01/1990,"635, Akin Adesola Street, Victoria Island, Lagos",Victoria Island,LAGOS,"234-01-2622650-69,3201100",www.gtbplc.com,-,234-01-2622698-9,"Plot 1669, Oyin Jolayemi Street V.I. Lagos",NGN,-,Guaranty Trust Bank Plc,"3rd January, 2006 (previously licensed August 1, 1990)"
Keystone Bank Limited,Commercial Banks,,,,,,,,,,,,,,,,,
Nova Commercial Bank Limited,Commercial Banks,Nova Commercial Bank Limited,Commercial Bank,National,-,01/01/1900,"23 Kofo Abayomi Street, Victoria Island, Lagos",Lagos,LAGOS,02012804000 +2348012804000,-,-,-,-,NGN,Domestic,-,07/01/2024
