Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
AAA FINANCE & INVESTMENT COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ADDOSSER FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
AIQ CAPITAL FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ALC FINANCE COMPANY LTD,Finance Companies,,,,,,,,,,,,,,,,,
ALLIANZBRIDGE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
AMS FINANCE & MANAGEMENT COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
AQUILA LEASING LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ARKERS FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
BANCORP FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
BERKSHIRE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
BRANCH INTERNATIONAL FINANCIAL SERVICES LTD,Finance Companies,,,,,,,,,,,,,,,,,
C & I LEASING PLC,Finance Companies,,,,,,,,,,,,,,,,,
CANDOURCREST FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CAPITALFIELD FINANCIAL MANAGEMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CAPRI-MARTINS FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CARBON FINANCE AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CASH-LINK LEASING PLC,Finance Companies,,,,,,,,,,,,,,,,,
CELOX FINANCE & INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
Centrum Finance Company Limited,Finance Companies,Centrum Finance Company Limited,Finance Company,National,ALC Finance Limited,18/05/2022,Centrum Finance Company Limited No 9B Lumumbashi Street Abacha Estate Wuse Zone 4 Abuja,Wuse Zone 4,ABUJA,+234 908 8888 198,centrumfinanceltd.com,info@centrumfinanceltd.com,+234 908 8888 198,Centrum Finance Company Limited No 9B Lumumbashi Street Abacha Estate Wuse Zone 4 Abuja,NGN,Domestic,-,03/12/2023
CEVIANT FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CFS Financial Services Limited,Finance Companies,CFS Financial Services Limited,Finance Company,-,-,03/07/2007,"Eleganza Building, 15B Wesley/Joseph Street,",-,LAG,01-2600757,-,-,-,"Lagos Island,",NGN,Domestic,-,7/3/2007
CITIHOMES FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
