Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
ABEG TECHNOLOGIES LIMITED,Mobile Money Operators,,,,,,,,,,,,,,,,,
CHAMS MOBILE LIMITED,Mobile Money Operators,,,,,,,,,,,,,,,,,
ETRANZACT INTERNATIONAL LIMITED,Mobile Money Operators,ETRANZACT INTERNATIONAL LIMITED,Mobile Money Operator,None,ETRANZACT INTERNATIONAL LIMITED,01/01/1900,27/29 Adeyemo Alakija Street Victoria Island,Victoria Island,LAGOS,xxxx,-,Oluwafemi.Aminu@etranzactng.com,-,-,NGN,Domestic,-,08/18/2021
FORTIS MOBILE MONEY LIMITED,Mobile Money Operators,,,,,,,,,,,,,,,,,
FUNDS AND ELECTRONIC TRANSFER (FETS) LIMITED,Mobile Money Operators,FUNDS AND ELECTRONIC TRANSFER (FETS) LIMITED,Mobile Money Operator,None,FUNDS AND ELECTRONIC TRANSFER (FETS) LIMITED,01/01/1900,"15 Cameron Road, Ikoyi, Lagos",Ikoyi,LAGOS,xxxxx,-,JOHN.MAGO@FETSLIMITED.COM,-,-,NGN,Domestic,-,12/10/2013
HEDONMARK MANAGEMENT SERVICES LIMITED,Mobile Money Operators,HEDONMARK MANAGEMENT SERVICES LIMITED,Mobile Money Operator,None,HEDONMARK MANAGEMENT SERVICES LIMITED,01/01/1900,"NCR Building (8th Floor)t, 6 Broad Street, Lagos Island, Lagos",Lagos Island,LAGOS,xxxxx,-,oshone@zoto.com.ng,-,-,NGN,Domestic,-,01/15/2014
KONGAPAY TECHNOLOGIES LIMITED (FORMERLY ZINTERNET LIMITED ),Mobile Money Operators,KONGAPAY TECHNOLOGIES LIMITED (FORMERLY ZINTERNET LIMITED ),Mobile Money Operator,None,ZINTERNET LIMITED,01/01/1900,"1 Redemption Crescent Gbagada, before UPS, off Oshodi Apapa Express way, Lagos",Apapa,LAGOS,xxxxx,-,michael@kongapay.com,-,-,NGN,Domestic,-,09/24/2012
MKUDI LIMITED,Mobile Money Operators,,,,,,,,,,,,,,,,,
NOWNOW DIGITAL SYSTEMS LIMITED (FORMERLY CONTEC GLOBAL INFOTECH LIMITED),Mobile Money Operators,,,,,,,,,,,,,,,,,
OPAY DIGITAL SERVICES LIMITED (FORMERLY PAYCOM NIGERIA LIMITED),Mobile Money Operators,OPAY DIGITAL SERVICES LIMITED (FORMERLY PAYCOM NIGERIA LIMITED),Mobile Money Operator,None,PAYCOM NIGERIA LIMITED,01/01/1900,"Alexander House Otunba Jobi Fele Way Agidingbi, Alausa, Ikeja, Lagos",Ikeja,LAGOS,xxxxx,-,aolaniyi@opay-inc.com,-,-,NGN,Domestic,-,12/09/2013
PAGATECH LIMITED,Mobile Money Operators,PAGATECH LIMITED,Mobile Money Operator,None,PAGATECH LIMITED,01/01/1900,"176 Herbert Macaulay Way 3rd Floor, Yaba, Lagos",Yaba,LAGOS,xxxxx,-,tayo@pagatech.com,-,-,NGN,Domestic,-,12/09/2013
PALMPAY LIMITED,Mobile Money Operators,PALMPAY LIMITED,Mobile Money Operator,None,PALMPAY LIMITED,01/01/1900,"No 63, Adekunle Fajuyi Street, Ikeja, Lagos",Ikeja,LAGOS,xxxxx,-,chika.nwosu@palmpay-inc.com,-,-,NGN,Domestic,-,06/24/2020
PARKWAY PROJECTS LIMITED,Mobile Money Operators,PARKWAY PROJECTS LIMITED,Mobile Money Operator,None,PARKWAY PROJECTS LIMITED,01/01/1900,"295, Herbert Macaulay way, Yaba, Lagos",Yaba,LAGOS,xxxxx,-,eonwugbufor@parkway.ng,-,-,NGN,Domestic,-,12/23/2011
TEASY INTERNATIONAL COMPANY LTD.,Mobile Money Operators,TEASY INTERNATIONAL COMPANY LTD.,Mobile Money Operator,None,TEASY INTERNATIONAL COMPANY LTD.,01/01/1900,"No 3 Elbe Close Off Panama Street, Maitama, Abuja",Maitama,ABUJA,xxxxx,-,agabdo@teasymobile.com,-,-,NGN,Domestic,-,12/14/2014
VISUAL ICT LIMITED,Mobile Money Operators,,,,,,,,,,,,,,,,,
VTNETWORK LIMITED,Mobile Money Operators,VTNETWORK LIMITED,Mobile Money Operator,None,VTNETWORK LIMITED,01/01/1900,"11, Okunola Abass Street Bodija Ibadan",Ibadan,OYO,xxxxx,-,ayodeji@virtualterminalnetwork.com,-,-,NGN,Domestic,-,09/25/2014
XPRESS MTS LIMITED,Mobile Money Operators,,,,,,,,,,,,,,,,,
